LSOA_CODE,AREA_NAME,ALL_PROPERTIES,MODE1_VAL,MODE1_TYPE,MODE1_PC
E01006651,Liverpool 001A,620,450,BP_1993_1999,0.73
E01006653,Liverpool 001B,630,180,BP_1919_1929,0.29
E01006655,Liverpool 001C,790,460,BP_1919_1929,0.58
E01006658,Liverpool 001D,640,470,BP_1919_1929,0.73
E01006660,Liverpool 001E,640,290,BP_1919_1929,0.45
E01006652,Liverpool 002A,650,420,BP_PRE_1900,0.65
E01006656,Liverpool 002B,670,280,BP_PRE_1900,0.42
E01006657,Liverpool 002C,610,200,BP_PRE_1900,0.33
E01006780,Liverpool 002D,660,310,BP_PRE_1900,0.47
E01006783,Liverpool 002E,680,410,BP_PRE_1900,0.6
E01006781,Liverpool 003A,590,180,BP_1983_1992,0.31
E01006782,Liverpool 003B,700,640,BP_PRE_1900,0.91
E01006784,Liverpool 003C,590,500,BP_PRE_1900,0.85
E01006785,Liverpool 003D,810,300,BP_PRE_1900,0.37
E01006786,Liverpool 003E,800,280,BP_PRE_1900,0.35
E01006661,Liverpool 004A,770,560,BP_1945_1954,0.73
E01006662,Liverpool 004B,870,270,BP_2000_2009,0.31
E01006663,Liverpool 004C,530,220,BP_1993_1999,0.42
E01006664,Liverpool 004D,900,250,BP_1930_1939,0.28
E01006669,Liverpool 004E,580,480,BP_1993_1999,0.83
E01006654,Liverpool 005A,660,230,BP_PRE_1900,0.35
E01006659,Liverpool 005B,560,160,BP_1930_1939,0.29
E01006734,Liverpool 005C,660,400,BP_1919_1929,0.61
E01006735,Liverpool 005D,590,360,BP_1930_1939,0.61
E01006736,Liverpool 005E,580,510,BP_1919_1929,0.88
E01006737,Liverpool 005F,570,510,BP_1919_1929,0.89
E01006787,Liverpool 006A,700,440,BP_PRE_1900,0.63
E01006788,Liverpool 006B,730,310,BP_1930_1939,0.42
E01006790,Liverpool 006C,870,650,BP_PRE_1900,0.75
E01006791,Liverpool 006D,890,350,BP_PRE_1900,0.39
E01006665,Liverpool 007A,650,310,BP_1983_1992,0.48
E01006666,Liverpool 007B,520,430,BP_1993_1999,0.83
E01006667,Liverpool 007C,630,230,BP_1983_1992,0.37
E01006668,Liverpool 007D,590,590,BP_1993_1999,1
E01006670,Liverpool 007E,630,410,BP_1983_1992,0.65
E01006607,Liverpool 008A,660,620,BP_1919_1929,0.94
E01006612,Liverpool 008B,740,440,BP_1919_1929,0.59
E01006729,Liverpool 008C,540,540,BP_1919_1929,1
E01032510,Liverpool 008F,800,320,BP_1930_1939,0.4
E01032511,Liverpool 008G,630,410,BP_1973_1982,0.65
E01006608,Liverpool 009A,570,270,BP_1900_1918,0.47
E01006609,Liverpool 009B,620,490,BP_PRE_1900,0.79
E01006610,Liverpool 009C,810,610,BP_PRE_1900,0.75
E01006613,Liverpool 009D,630,340,BP_1919_1929,0.54
E01006705,Liverpool 009E,780,590,BP_PRE_1900,0.76
E01006598,Liverpool 010A,650,390,BP_1919_1929,0.6
E01006599,Liverpool 010B,540,450,BP_1919_1929,0.83
E01006672,Liverpool 010E,850,460,BP_1919_1929,0.54
E01033759,Liverpool 010F,850,350,BP_1919_1929,0.41
E01006600,Liverpool 011A,600,590,BP_1919_1929,0.98
E01006603,Liverpool 011B,620,590,BP_1919_1929,0.95
E01006730,Liverpool 011C,550,540,BP_1919_1929,0.98
E01006731,Liverpool 011D,510,490,BP_1919_1929,0.96
E01006732,Liverpool 011E,650,620,BP_1919_1929,0.95
E01006611,Liverpool 012A,800,800,BP_PRE_1900,1
E01006614,Liverpool 012B,690,680,BP_PRE_1900,0.99
E01006615,Liverpool 012C,720,630,BP_PRE_1900,0.88
E01006698,Liverpool 012D,790,510,BP_PRE_1900,0.65
E01006700,Liverpool 012E,730,650,BP_PRE_1900,0.89
E01006623,Liverpool 013A,550,330,BP_1973_1982,0.6
E01006624,Liverpool 013B,720,300,BP_1973_1982,0.42
E01006627,Liverpool 013C,620,180,BP_1955_1964,0.29
E01006671,Liverpool 013D,530,250,BP_1983_1992,0.47
E01006699,Liverpool 014A,830,510,BP_PRE_1900,0.61
E01006701,Liverpool 014B,810,330,BP_1973_1982,0.41
E01006702,Liverpool 014C,810,560,BP_PRE_1900,0.69
E01006703,Liverpool 014D,880,400,BP_1973_1982,0.45
E01006778,Liverpool 014E,1210,360,BP_PRE_1900,0.3
E01006541,Liverpool 015A,820,440,BP_PRE_1900,0.54
E01006543,Liverpool 015B,520,370,BP_1930_1939,0.71
E01006544,Liverpool 015C,810,370,BP_1919_1929,0.46
E01006616,Liverpool 015D,620,350,BP_1919_1929,0.56
E01006762,Liverpool 015E,750,290,BP_1919_1929,0.39
E01006604,Liverpool 016A,630,580,BP_1919_1929,0.92
E01006605,Liverpool 016B,730,600,BP_1919_1929,0.82
E01006618,Liverpool 016C,720,660,BP_1919_1929,0.92
E01006625,Liverpool 016D,630,320,BP_1930_1939,0.51
E01006626,Liverpool 016E,620,370,BP_1930_1939,0.6
E01006637,Liverpool 017A,680,490,BP_1930_1939,0.72
E01006638,Liverpool 017B,560,430,BP_1930_1939,0.77
E01006639,Liverpool 017C,640,160,BP_1930_1939,0.25
E01006644,Liverpool 017D,1020,320,BP_1945_1954,0.31
E01006645,Liverpool 017E,710,210,BP_1965_1972,0.3
E01006542,Liverpool 018A,600,510,BP_PRE_1900,0.85
E01006558,Liverpool 018B,810,750,BP_PRE_1900,0.93
E01006562,Liverpool 018E,770,650,BP_PRE_1900,0.84
E01033747,Liverpool 018F,720,260,BP_PRE_1900,0.36
E01006545,Liverpool 019A,680,420,BP_PRE_1900,0.62
E01006546,Liverpool 019B,660,520,BP_PRE_1900,0.79
E01006547,Liverpool 019C,870,730,BP_PRE_1900,0.84
E01006548,Liverpool 019D,810,750,BP_PRE_1900,0.93
E01006766,Liverpool 019E,610,540,BP_PRE_1900,0.89
E01006767,Liverpool 019F,870,520,BP_PRE_1900,0.6
E01006606,Liverpool 020A,760,280,BP_1919_1929,0.37
E01006761,Liverpool 020B,830,230,BP_PRE_1900,0.28
E01006763,Liverpool 020C,700,260,BP_1930_1939,0.37
E01006764,Liverpool 020D,770,500,BP_PRE_1900,0.65
E01006765,Liverpool 020E,650,340,BP_1900_1918,0.52
E01006768,Liverpool 020F,620,330,BP_PRE_1900,0.53
E01006617,Liverpool 021A,660,160,BP_1930_1939,0.24
E01006619,Liverpool 021B,810,200,BP_1930_1939,0.25
E01006620,Liverpool 021C,650,400,BP_1930_1939,0.62
E01006621,Liverpool 021D,600,150,BP_1919_1929,0.25
E01006622,Liverpool 021E,580,440,BP_1930_1939,0.76
E01006640,Liverpool 021F,760,200,BP_1930_1939,0.26
E01006776,Liverpool 022B,920,380,BP_1993_1999,0.41
E01006779,Liverpool 022D,890,530,BP_1983_1992,0.6
E01033764,Liverpool 022E,1500,450,BP_1973_1982,0.3
E01006560,Liverpool 023A,990,390,BP_1973_1982,0.39
E01006564,Liverpool 023B,800,570,BP_1973_1982,0.71
E01006646,Liverpool 023C,1090,280,BP_1983_1992,0.26
E01006648,Liverpool 023D,1030,410,BP_2000_2009,0.4
E01006540,Liverpool 024A,950,710,BP_PRE_1900,0.75
E01006563,Liverpool 024B,990,300,BP_1973_1982,0.3
E01006647,Liverpool 024C,750,280,BP_1993_1999,0.37
E01006693,Liverpool 024D,880,330,BP_1973_1982,0.38
E01006572,Liverpool 025A,540,410,BP_1930_1939,0.76
E01006574,Liverpool 025B,630,420,BP_1930_1939,0.67
E01006641,Liverpool 025C,650,430,BP_1993_1999,0.66
E01006642,Liverpool 025D,610,580,BP_1930_1939,0.95
E01006643,Liverpool 025E,760,550,BP_1930_1939,0.72
E01006567,Liverpool 026A,890,320,BP_1965_1972,0.36
E01006568,Liverpool 026B,670,420,BP_1983_1992,0.63
E01006570,Liverpool 026C,640,350,BP_1930_1939,0.55
E01006571,Liverpool 026D,610,460,BP_1930_1939,0.75
E01006711,Liverpool 027A,720,520,BP_PRE_1900,0.72
E01006717,Liverpool 027D,610,280,BP_1930_1939,0.46
E01006718,Liverpool 027E,700,530,BP_PRE_1900,0.76
E01006719,Liverpool 027F,630,310,BP_1900_1918,0.49
E01032508,Liverpool 027G,840,370,BP_PRE_1900,0.44
E01032509,Liverpool 027H,710,370,BP_PRE_1900,0.52
E01006690,Liverpool 028A,920,710,BP_PRE_1900,0.77
E01006692,Liverpool 028B,1080,500,BP_PRE_1900,0.46
E01006695,Liverpool 028C,1140,1010,BP_PRE_1900,0.89
E01006759,Liverpool 028D,460,310,BP_PRE_1900,0.67
E01006760,Liverpool 028E,940,810,BP_PRE_1900,0.86
E01006565,Liverpool 029A,650,400,BP_1919_1929,0.62
E01006569,Liverpool 029B,650,480,BP_1919_1929,0.74
E01006573,Liverpool 029C,790,250,BP_PRE_1900,0.32
E01006712,Liverpool 029D,580,270,BP_1900_1918,0.47
E01006713,Liverpool 029E,620,240,BP_1930_1939,0.39
E01006691,Liverpool 030A,730,680,BP_PRE_1900,0.93
E01006694,Liverpool 030B,940,780,BP_PRE_1900,0.83
E01006696,Liverpool 030C,890,370,BP_PRE_1900,0.42
E01006697,Liverpool 030D,880,680,BP_PRE_1900,0.77
E01006746,Liverpool 030E,670,270,BP_PRE_1900,0.4
E01006512,Liverpool 031A,840,200,BP_1919_1929,0.24
E01006747,Liverpool 031B,1340,390,BP_2000_2009,0.29
E01006748,Liverpool 031C,760,660,BP_PRE_1900,0.87
E01006751,Liverpool 031F,1020,270,BP_1993_1999,0.26
E01033763,Liverpool 031G,980,420,BP_PRE_1900,0.43
E01006566,Liverpool 032A,650,270,BP_1930_1939,0.42
E01006585,Liverpool 032B,640,420,BP_1919_1929,0.66
E01006586,Liverpool 032C,980,270,BP_2000_2009,0.28
E01006587,Liverpool 032D,710,200,BP_1973_1982,0.28
E01006716,Liverpool 032E,710,220,BP_1930_1939,0.31
E01006575,Liverpool 034A,590,260,BP_1919_1929,0.44
E01006576,Liverpool 034B,780,580,BP_1930_1939,0.74
E01006577,Liverpool 034C,620,250,BP_1930_1939,0.4
E01006579,Liverpool 034D,630,590,BP_1930_1939,0.94
E01006584,Liverpool 034E,620,480,BP_1930_1939,0.77
E01006720,Liverpool 035A,1140,850,BP_PRE_1900,0.75
E01006725,Liverpool 035B,720,340,BP_PRE_1900,0.47
E01006726,Liverpool 035C,690,650,BP_PRE_1900,0.94
E01006727,Liverpool 035D,680,530,BP_1900_1918,0.78
E01006728,Liverpool 035E,900,600,BP_PRE_1900,0.67
E01006752,Liverpool 035F,490,180,BP_1983_1992,0.37
E01006578,Liverpool 036A,560,490,BP_1930_1939,0.88
E01006580,Liverpool 036B,550,240,BP_1945_1954,0.44
E01006581,Liverpool 036C,620,400,BP_1930_1939,0.65
E01006773,Liverpool 036D,590,410,BP_1930_1939,0.69
E01006774,Liverpool 036E,550,230,BP_1945_1954,0.42
E01006514,Liverpool 037A,1090,700,BP_PRE_1900,0.64
E01006515,Liverpool 037B,880,190,BP_1993_1999,0.22
E01006673,Liverpool 037D,940,440,BP_PRE_1900,0.47
E01033757,Liverpool 037E,450,180,BP_PRE_1900,0.4
E01033768,Liverpool 037F,800,740,BP_PRE_1900,0.93
E01006550,Liverpool 038A,600,400,BP_PRE_1900,0.67
E01006557,Liverpool 038B,600,430,BP_PRE_1900,0.72
E01006721,Liverpool 038C,950,690,BP_PRE_1900,0.73
E01006722,Liverpool 038D,670,590,BP_PRE_1900,0.88
E01006723,Liverpool 038E,750,670,BP_PRE_1900,0.89
E01006724,Liverpool 038F,500,430,BP_PRE_1900,0.86
E01006552,Liverpool 039A,880,730,BP_PRE_1900,0.83
E01006556,Liverpool 039B,1030,920,BP_PRE_1900,0.89
E01006674,Liverpool 039C,1010,610,BP_PRE_1900,0.6
E01006679,Liverpool 039D,980,270,BP_1973_1982,0.28
E01006709,Liverpool 040A,710,500,BP_1955_1964,0.7
E01006769,Liverpool 040B,670,400,BP_1955_1964,0.6
E01006770,Liverpool 040C,500,360,BP_1955_1964,0.72
E01006771,Liverpool 040D,690,260,BP_1993_1999,0.38
E01006772,Liverpool 040E,510,180,BP_1973_1982,0.35
E01006775,Liverpool 040F,590,210,BP_1973_1982,0.36
E01006582,Liverpool 041A,610,340,BP_1930_1939,0.56
E01006589,Liverpool 041B,630,240,BP_1919_1929,0.38
E01006591,Liverpool 041C,670,400,BP_1900_1918,0.6
E01006592,Liverpool 041D,640,180,BP_1919_1929,0.28
E01006597,Liverpool 041E,730,200,BP_1919_1929,0.27
E01006553,Liverpool 042A,620,360,BP_1900_1918,0.58
E01006588,Liverpool 042C,820,310,BP_1900_1918,0.38
E01006590,Liverpool 042D,690,480,BP_1900_1918,0.7
E01006593,Liverpool 042E,640,360,BP_1900_1918,0.56
E01033749,Liverpool 042F,70,30,BP_1900_1918,0.43
E01033766,Liverpool 042G,400,230,BP_1900_1918,0.58
E01006520,Liverpool 043A,1210,810,BP_PRE_1900,0.67
E01006549,Liverpool 043B,900,760,BP_PRE_1900,0.84
E01006675,Liverpool 043C,1280,930,BP_PRE_1900,0.73
E01006677,Liverpool 043D,810,550,BP_PRE_1900,0.68
E01006518,Liverpool 044A,830,320,BP_PRE_1900,0.39
E01006630,Liverpool 044B,700,160,BP_1983_1992,0.23
E01006632,Liverpool 044C,880,560,BP_PRE_1900,0.64
E01006676,Liverpool 044D,810,550,BP_PRE_1900,0.68
E01006678,Liverpool 044E,1030,440,BP_PRE_1900,0.43
E01006706,Liverpool 045A,580,300,BP_1965_1972,0.52
E01006707,Liverpool 045B,600,300,BP_1965_1972,0.5
E01006708,Liverpool 045C,800,240,BP_1993_1999,0.3
E01006710,Liverpool 045D,640,510,BP_1965_1972,0.8
E01006792,Liverpool 046A,590,170,BP_1965_1972,0.29
E01006794,Liverpool 046B,750,170,BP_1965_1972,0.23
E01006800,Liverpool 046C,670,380,BP_1955_1964,0.57
E01006801,Liverpool 046D,630,320,BP_1955_1964,0.51
E01006532,Liverpool 047A,640,320,BP_1930_1939,0.5
E01006539,Liverpool 047B,610,150,BP_1930_1939,0.25
E01006583,Liverpool 047C,560,310,BP_1930_1939,0.55
E01006594,Liverpool 047D,580,130,BP_1983_1992,0.22
E01006796,Liverpool 047E,580,150,BP_1955_1964,0.26
E01006522,Liverpool 048A,1090,750,BP_PRE_1900,0.69
E01006524,Liverpool 048B,630,170,BP_2000_2009,0.27
E01006526,Liverpool 048C,640,180,BP_PRE_1900,0.28
E01006529,Liverpool 048D,560,370,BP_1900_1918,0.66
E01006551,Liverpool 048E,880,480,BP_1965_1972,0.55
E01006554,Liverpool 048F,640,540,BP_PRE_1900,0.84
E01006525,Liverpool 049A,490,250,BP_1930_1939,0.51
E01006595,Liverpool 049B,830,250,BP_1930_1939,0.3
E01006596,Liverpool 049C,600,430,BP_1930_1939,0.72
E01006689,Liverpool 049D,700,520,BP_1930_1939,0.74
E01006633,Liverpool 050B,660,200,BP_1983_1992,0.3
E01032505,Liverpool 050F,590,240,BP_1983_1992,0.41
E01032506,Liverpool 050G,680,560,BP_PRE_1900,0.82
E01032507,Liverpool 050H,690,490,BP_PRE_1900,0.71
E01033748,Liverpool 050I,720,500,BP_2000_2009,0.69
E01033767,Liverpool 050J,580,440,BP_PRE_1900,0.76
E01006793,Liverpool 051A,780,250,BP_1965_1972,0.32
E01006795,Liverpool 051B,640,250,BP_1930_1939,0.39
E01006797,Liverpool 051C,690,340,BP_1930_1939,0.49
E01006798,Liverpool 051D,610,250,BP_1973_1982,0.41
E01006799,Liverpool 051E,1150,280,BP_1965_1972,0.24
E01006521,Liverpool 052A,880,280,BP_PRE_1900,0.32
E01006523,Liverpool 052B,850,520,BP_PRE_1900,0.61
E01006528,Liverpool 052C,650,380,BP_1900_1918,0.58
E01006628,Liverpool 052D,740,390,BP_PRE_1900,0.53
E01006629,Liverpool 052E,590,160,BP_1973_1982,0.27
E01006527,Liverpool 053A,700,200,BP_1973_1982,0.29
E01006680,Liverpool 053B,600,360,BP_1930_1939,0.6
E01006682,Liverpool 053C,510,360,BP_1930_1939,0.71
E01006683,Liverpool 053D,600,440,BP_1930_1939,0.73
E01006686,Liverpool 053E,550,410,BP_1930_1939,0.75
E01006534,Liverpool 054A,670,230,BP_1919_1929,0.34
E01006535,Liverpool 054B,660,360,BP_1919_1929,0.55
E01006536,Liverpool 054C,830,450,BP_1919_1929,0.54
E01006681,Liverpool 054D,730,270,BP_1945_1954,0.37
E01006530,Liverpool 055A,630,300,BP_1945_1954,0.48
E01006531,Liverpool 055B,690,360,BP_1955_1964,0.52
E01006533,Liverpool 055C,630,160,BP_1955_1964,0.25
E01006537,Liverpool 055D,1090,400,BP_2000_2009,0.37
E01006538,Liverpool 055E,530,220,BP_1945_1954,0.42
E01006519,Liverpool 056A,550,240,BP_1930_1939,0.44
E01006684,Liverpool 056B,1030,380,BP_2000_2009,0.37
E01006685,Liverpool 056C,620,240,BP_1930_1939,0.39
E01006687,Liverpool 056D,1060,330,BP_2000_2009,0.31
E01006688,Liverpool 056E,740,260,BP_PRE_1900,0.35
E01006740,Liverpool 057A,630,220,BP_2000_2009,0.35
E01006742,Liverpool 057B,590,330,BP_1919_1929,0.56
E01006744,Liverpool 057C,780,460,BP_PRE_1900,0.59
E01006745,Liverpool 057D,910,710,BP_PRE_1900,0.78
E01006738,Liverpool 058A,680,280,BP_PRE_1900,0.41
E01006739,Liverpool 058B,800,370,BP_1930_1939,0.46
E01006741,Liverpool 058C,780,680,BP_1930_1939,0.87
E01006743,Liverpool 058D,1000,410,BP_2000_2009,0.41
E01006753,Liverpool 059A,670,530,BP_1945_1954,0.79
E01006754,Liverpool 059B,810,620,BP_1945_1954,0.77
E01006755,Liverpool 059C,660,480,BP_1945_1954,0.73
E01006756,Liverpool 059D,810,680,BP_1945_1954,0.84
E01006757,Liverpool 059E,640,590,BP_1945_1954,0.92
E01006758,Liverpool 059F,650,490,BP_1945_1954,0.75
E01006513,Liverpool 060A,1350,540,BP_2000_2009,0.4
E01033758,Liverpool 060B,800,400,BP_2000_2009,0.5
E01033760,Liverpool 060C,890,620,BP_2000_2009,0.7
E01033761,Liverpool 060D,890,590,BP_2000_2009,0.66
E01033762,Liverpool 060E,950,430,BP_2000_2009,0.45
E01033750,Liverpool 061A,980,680,BP_2000_2009,0.69
E01033754,Liverpool 061B,1000,460,BP_2000_2009,0.46
E01033756,Liverpool 061C,990,790,BP_2000_2009,0.8
E01033765,Liverpool 061D,690,340,BP_1983_1992,0.49
E01033751,Liverpool 062A,930,510,BP_2000_2009,0.55
E01033752,Liverpool 062B,1280,480,BP_2000_2009,0.38
E01033753,Liverpool 062C,580,570,BP_2000_2009,0.98
E01033755,Liverpool 062D,720,550,BP_2000_2009,0.76
